description,hs_code,category
Unisex heavy cotton relaxed fit graphic tee Black size S,6109,Apparel (Vague)
Mirrorless DSLR body only - brand new,8525,Camera/Optical
Digital streaming apparatus with built-in camera - night vision capable ID-8726,8525,Camera/Optical
Metal frame office desk with wooden tabletop - industrial style ID-6835,9403,Furniture
Mirrorless DSLR body only - with smartphone wifi control,8525,Camera/Optical
Drone quadcopter with integrated high-definition broadcasting camera - vlogging kit,8525,Camera/Optical
Rustic oak bookshelf 5-tier - stackable ID-6229,9403,Furniture
White Heavy duty plastic storage bin [27 gallon],3926,Plastics
Men's Long Sleeve Button-Down Oxford Dress Shirt woven size XL color Black,6205,Apparel (Woven)
Digital streaming apparatus with built-in camera - 24.2 MP,8525,Camera/Optical
Red Plastic organizer box [medium size],3926,Plastics
Men's 100% Cotton Crewneck T-Shirt Knitted short sleeve size S color Olive,6109,Apparel (Knitted)
Red Clear plastic desk organizer for office supplies [with snap lid],3926,Plastics
Xiaomi 13 Router Dual Band Gigabit,8517,Electronics/Networking
Men's Long Sleeve Button-Down Oxford Dress Shirt woven size XS color Charcoal,6205,Apparel (Woven)
Cotton blend casual collar shirt short sleeve summer wear White,6205,Apparel (Vague)
White Clear plastic desk organizer for office supplies [12 inches high],3926,Plastics
Security surveillance camera wireless - bundle pack ID-6524,8525,Camera/Optical
Men's Long Sleeve Button-Down Oxford Dress Shirt woven size S color Olive,6205,Apparel (Woven)
Action Camera waterproof 5.3K - vlogging kit,8525,Camera/Optical
Men's Long Sleeve Button-Down Oxford Dress Shirt woven size XS color Red,6205,Apparel (Woven)
Rustic oak bookshelf 5-tier - light brown,9403,Furniture
Metal frame office desk with wooden tabletop - stackable,9403,Furniture
5G Network Hub midnight color,8517,Electronics/Networking
Cotton blend casual collar shirt short sleeve summer wear Yellow,6205,Apparel (Vague)
Molded plastic chair for indoor outdoor use - oak finish,9403,Furniture
"Grey Set of 5 plastic storage containers for kitchen, airtight [with snap lid]",3926,Plastics
White Heavy duty plastic storage bin [multi-compartment],3926,Plastics
Digital Camera setup with 4K video - vlogging kit ID-892,8525,Camera/Optical
Unisex heavy cotton relaxed fit graphic tee White size XS,6109,Apparel (Vague)
Nokia 3310 Retry new in box,8517,Electronics/Networking
Galaxy S23 Ultra space gray,8517,Electronics/Networking
Men's Long Sleeve Button-Down Oxford Dress Shirt woven size XS color Black ID-3193,6205,Apparel (Woven)
Black Molded plastic protective shell carrying case [medium size],3926,Plastics
Ergonomic mesh office chair with wooden armrests - light brown,9403,Furniture
Unisex heavy cotton relaxed fit graphic tee Olive size XXL,6109,Apparel (Vague)
Molded plastic chair for indoor outdoor use - dark walnut,9403,Furniture
Men's 100% Cotton Crewneck T-Shirt Knitted short sleeve size M color Green,6109,Apparel (Knitted)
Red Small plastic step stool for kids [BPA-free],3926,Plastics
Rustic oak bookshelf 5-tier - stackable,9403,Furniture
Cotton blend casual collar shirt short sleeve summer wear Blue ID-4480,6205,Apparel (Vague)
Men's Long Sleeve Button-Down Oxford Dress Shirt woven size XS color Black,6205,Apparel (Woven)
Men's Long Sleeve Button-Down Oxford Dress Shirt woven size S color Charcoal,6205,Apparel (Woven)
Wooden dining table set with 4 chairs - industrial style,9403,Furniture
Digital streaming apparatus with built-in camera - outdoor proof,8525,Camera/Optical
"Clear Set of 5 plastic storage containers for kitchen, airtight [stacking design]",3926,Plastics
Digital streaming apparatus with built-in camera - zoom lens included,8525,Camera/Optical
Digital streaming apparatus with built-in camera - 24.2 MP ID-1616,8525,Camera/Optical
Action Camera waterproof 5.3K - outdoor proof ID-3414,8525,Camera/Optical
OnePlus 11 midnight color,8517,Electronics/Networking
Security surveillance camera wireless - bundle pack,8525,Camera/Optical
Unisex heavy cotton relaxed fit graphic tee Red size XL,6109,Apparel (Vague)
5G Network Hub 256GB Black Unlocked,8517,Electronics/Networking
Red Plastic organizer box [multi-compartment],3926,Plastics
Men's 100% Cotton Crewneck T-Shirt Knitted short sleeve size L color Olive,6109,Apparel (Knitted)
Digital Camera setup with 4K video - outdoor proof,8525,Camera/Optical
Men's Long Sleeve Button-Down Oxford Dress Shirt woven size M color Charcoal,6205,Apparel (Woven)
Men's 100% Cotton Crewneck T-Shirt Knitted short sleeve size XXL color Grey,6109,Apparel (Knitted)
Wooden dining table set with 4 chairs - industrial style ID-7589,9403,Furniture
Digital Camera setup with 4K video - bundle pack,8525,Camera/Optical
Grey Small plastic step stool for kids [medium size],3926,Plastics
Ergonomic mesh office chair with wooden armrests - industrial style,9403,Furniture
5G Network Hub new in box ID-8747,8517,Electronics/Networking
Men's 100% Cotton Crewneck T-Shirt Knitted short sleeve size XS color White,6109,Apparel (Knitted)
Action Camera waterproof 5.3K - outdoor proof,8525,Camera/Optical
Nokia 3310 Retry 24-Port Managed,8517,Electronics/Networking
"Transparent Set of 5 plastic storage containers for kitchen, airtight [BPA-free]",3926,Plastics
Transparent Molded plastic protective shell carrying case [27 gallon],3926,Plastics
Mirrorless DSLR body only - vlogging kit,8525,Camera/Optical
Men's Long Sleeve Button-Down Oxford Dress Shirt woven size S color Green,6205,Apparel (Woven)
"Red Set of 5 plastic storage containers for kitchen, airtight [BPA-free]",3926,Plastics
Molded plastic chair for indoor outdoor use - weather resistant,9403,Furniture
Men's 100% Cotton Crewneck T-Shirt Knitted short sleeve size L color Grey ID-2285,6109,Apparel (Knitted)
Men's 100% Cotton Crewneck T-Shirt Knitted short sleeve size XL color Charcoal,6109,Apparel (Knitted)
"Grey Set of 5 plastic storage containers for kitchen, airtight [with snap lid] ID-2905",3926,Plastics
Unisex heavy cotton relaxed fit graphic tee Charcoal size XS,6109,Apparel (Vague)
Metal frame office desk with wooden tabletop - dark walnut,9403,Furniture
Metal frame office desk with wooden tabletop - oak finish,9403,Furniture
Rustic oak bookshelf 5-tier - easy assemble,9403,Furniture
Men's 100% Cotton Crewneck T-Shirt Knitted short sleeve size XXL color Blue,6109,Apparel (Knitted)
Cotton blend casual collar shirt short sleeve summer wear Navy ID-6348,6205,Apparel (Vague)
Men's Long Sleeve Button-Down Oxford Dress Shirt woven size S color Blue,6205,Apparel (Woven)
Molded plastic chair for indoor outdoor use - easy assemble,9403,Furniture
OnePlus 11 new in box,8517,Electronics/Networking
OnePlus 11 512GB Ceramic Shield,8517,Electronics/Networking
