description,hs_code,category
"Apple iPhone 14 Pro Max 256GB Black Smartphone, new in box",8517,Electronics
Samsung Galaxy S23 Ultra 512GB Mobile Phone GSM Unlocked,8517,Electronics
TP-Link WiFi 6 Router AX1800 Smart WiFi Router,8517,Networking
Cisco Catalyst 2960-X Series 24 GigE Switch,8517,Networking
Smartphone with built-in advanced 4K digital camera and lens attachment,8517,Electronics/Camera
Smart watch with cellular network connectivity and bluetooth,8517,Wearables
Sony Alpha a7 IV Mirrorless Digital Camera Body Only,8525,Electronics
Canon EOS Rebel T7 DSLR Camera with 18-55mm Lens,8525,Electronics
GoPro HERO11 Black Waterproof Action Camera 5.3K Video,8525,Electronics
Miniature drone with 1080p HD live broadcast camera,8525,Electronics/Toys
Security surveillance camera bundle with wifi broadcast,8525,Security
Men's 100% Cotton Crewneck T-Shirt Knitted black large,6109,Apparel
Women's V-Neck Short Sleeve Basic Tee Knitted white,6109,Apparel
Unisex heavy cotton knitted graphic t-shirt red,6109,Apparel
Men's Long Sleeve Button-Down Oxford Dress Shirt woven,6205,Apparel
Casual Flannel Plaid Long Sleeve Shirt for Men woven,6205,Apparel
Men's casual collar shirt short sleeve cotton blend,6205,Apparel
Wooden dining table set with 4 chairs oak finish,9403,Furniture
Metal frame office desk with wooden tabletop,9403,Furniture
Large plastic outdoor garden storage box and bench,9403,Furniture
"Set of 5 plastic storage containers for kitchen, airtight",3926,Plastics
Molded plastic chair for indoor outdoor use stackable,9403,Furniture
Small plastic step stool for kids 12 inches high,3926,Plastics/Furniture
ITEM: Men's formal woven dress shirt color 24 slim fit REF# 6211,6205,Generated
ITEM: Used iPhone 11 Black GB Unlocked Good Condition REF# 3258,8517,Generated
Used iPhone 11 White GB Unlocked Good Condition,8517,Generated
Cotton short sleeve T-shirt color desk size L knitted,6109,Generated
plastic green organizer box medium size,3926,Generated
plastic toy organizer box medium size,3926,Generated
ITEM: Cotton short sleeve T-shirt color White size L knitted REF# 1055,6109,Generated
used iphone 11 20 gb unlocked good condition,8517,Generated
used iphone 11 white gb unlocked good condition,8517,Generated
Used iPhone 11 chair GB Unlocked Good Condition,8517,Generated
Plastic desk organizer box medium size,3926,Generated
Plastic tool organizer box medium size,3926,Generated
Cotton short sleeve T-shirt color desk size L knitted,6109,Generated
Digital camera toy Megapixel with zoom lens,8525,Generated
Plastic 128 organizer box medium size,3926,Generated
wooden blue for living room decor,9403,Generated
Digital camera desk Megapixel with zoom lens,8525,Generated
plastic 24 organizer box medium size,3926,Generated
Plastic White organizer box medium size,3926,Generated
Cotton short sleeve T-shirt color Blue size L knitted,6109,Generated
Men's formal woven dress shirt color tool slim fit,6205,Generated
Men's formal woven dress shirt color White slim fit,6205,Generated
Used iPhone 11 tool GB Unlocked Good Condition,8517,Generated
Digital camera 128 Megapixel with zoom lens,8525,Generated
ITEM: Wooden Black for living room decor REF# 2029,9403,Generated
used iphone 11 blue gb unlocked good condition,8517,Generated
ITEM: Digital camera White Megapixel with zoom lens REF# 9689,8525,Generated
plastic red organizer box medium size,3926,Generated
Cotton short sleeve T-shirt color Black size L knitted,6109,Generated
Digital camera tool Megapixel with zoom lens,8525,Generated
Wooden Blue for living room decor,9403,Generated
ITEM: Digital camera tool Megapixel with zoom lens REF# 5018,8525,Generated
Used iPhone 11 Green GB Unlocked Good Condition,8517,Generated
Men's formal woven dress shirt color 128 slim fit,6205,Generated
Used iPhone 11 Blue GB Unlocked Good Condition,8517,Generated
cotton short sleeve t-shirt color 128 size l knitted,6109,Generated
Cotton short sleeve T-shirt color White size L knitted,6109,Generated
ITEM: Men's formal woven dress shirt color tool slim fit REF# 8320,6205,Generated
Wooden White for living room decor,9403,Generated
used iphone 11 20 gb unlocked good condition,8517,Generated
